===========================================================================
  国連加盟国等 195カ国 データリスト
  人口: UN DESA World Population Prospects 2024（2023年中間推計、千人単位）
  面積: UN Statistics Division / World Bank（km²）
  ※ バチカン・パレスチナはオブザーバー国家
===========================================================================

【面積ランキング】
  順位  国名                        地域                 面積(km²)        人口(千人)
  69  セネガル                      アフリカ              17,316         196,722
  70  ソマリア                      アフリカ              17,154         637,657
  71  カンボジア                     アジア               16,718         181,035
  72  ジンバブエ                     アフリカ              15,092         390,757
  73  ルワンダ                      アフリカ              14,256          26,338
  74  ギニア                       アフリカ              13,531         245,857
  75  ベナン                       アフリカ              13,353         112,622
  76  ブルンジ                      アフリカ              13,238          27,834
  77  ボリビア                      南米                12,388       1,098,581
  78  チュニジア                     アフリカ              12,211         163,610
  79  ベルギー                      欧州                11,590          30,528
  80  ハイチ                       北米                11,470          27,750
  81  ドミニカ共和国                   北米                11,333          48,671
  82  キューバ                      北米                11,089         109,884
  83  南スーダン                     アフリカ              10,913         619,745
  84  チェコ                       欧州                10,900          78,866
  85  スウェーデン                    欧州                10,551         450,295
  86  ギリシャ                      欧州                10,341         131,957
  87  パプアニューギニア                 オセアニア             10,330         462,840
  88  ホンジュラス                    北米                10,280         112,492
  89  ヨルダン                      アジア               10,269          89,342
  90  ポルトガル                     欧州                10,247          92,212
  91  ハンガリー                     欧州                10,156          93,028
  92  アゼルバイジャン                  アジア               10,139          86,600
  93  タジキスタン                    アジア                9,952         143,100
  94  ベラルーシ                     欧州                 9,498         207,600
  95  アラブ首長国連邦                  アジア                9,282          83,600
  96  イスラエル                     アジア                9,174          20,770
  97  オーストリア                    欧州                 9,042          83,871
  98  スイス                       欧州                 8,796          41,285
  99  トーゴ                       アフリカ               8,644          56,785
 100  シエラレオネ                    アフリカ               8,605          71,740
 101  ラオス                       アジア                7,634         236,800
 102  パラグアイ                     南米                 7,360         406,752
 103  リビア                       アフリカ               7,062       1,759,540
 104  キルギス                      アジア                6,991         199,951
 105  ニカラグア                     北米                 6,948         130,373
 106  セルビア                      欧州                 6,642          77,474
 107  ブルガリア                     欧州                 6,458         110,879
 108  エルサルバドル                   北米                 6,364          21,041
 109  トルクメニスタン                  アジア                6,117         488,100
 110  シンガポール                    アジア                5,918             728
 111  デンマーク                     欧州                 5,910          43,094
 112  コンゴ共和国                    アフリカ               5,836         342,000
 113  スコバキア                     欧州                 5,795          49,035
 114  スロバキア                     欧州                 5,795          49,035
 115  中央アフリカ                    アフリカ               5,742         622,984
 116  フィンランド                    欧州                 5,545         338,145
 117  ノルウェー                     欧州                 5,474         385,207
 118  リベリア                      アフリカ               5,418         111,369
 119  パレスチナ                     アジア                5,371           6,020
 120  レバノン                      アジア                5,353          10,452
 121  コスタリカ                     北米                 5,213          51,100
 122  アイルランド                    欧州                 5,123          70,273
 123  ニュージーランド                  オセアニア              5,123         270,467
 124  クウェート                     アジア                4,859          17,818
 125  オマーン                      アジア                4,644         309,500
 126  モーリタニア                    アフリカ               4,615       1,030,700
 127  パナマ                       北米                 4,352          75,417
 128  クロアチア                     欧州                 3,871          56,594
 129  エリトリア                     アフリカ               3,748         117,600
 130  ジョージア                     アジア                3,728          69,700
 131  ウルグアイ                     南米                 3,423         176,215
 132  モンゴル                      アジア                3,398       1,564,116
 133  モルドバ                      欧州                 3,272          33,846
 134  ボスニア・ヘルツェゴビナ              欧州                 3,210          51,197
 135  アルバニア                     欧州                 2,832          28,748
 136  ジャマイカ                     北米                 2,825          10,991
 137  アルメニア                     アジア                2,778          29,743
 138  リトアニア                     欧州                 2,718          65,300
 139  カタール                      アジア                2,716          11,586
 140  ガンビア                      アフリカ               2,640          11,300
 141  ナミビア                      アフリカ               2,588         824,292
 142  ボツワナ                      アフリカ               2,588         581,730
 143  ガボン                       アフリカ               2,388         267,668
 144  レソト                       アフリカ               2,281          30,355
 145  ギニアビサウ                    アフリカ               2,150          36,125
 146  スロベニア                     欧州                 2,117          20,273
 147  北マケドニア                    欧州                 2,085          25,713
 148  マケドニア                     欧州                 2,085          25,713
 149  ラトビア                      欧州                 1,831          64,589
 150  赤道ギニア                     アフリカ               1,674          28,051
 151  トリニダード・トバゴ                北米                 1,534           5,130
 152  バーレーン                     アジア                1,463             765
 153  東ティモール                    アジア                1,341          14,874
 154  エストニア                     欧州                 1,322          45,228
 155  キプロス                      欧州                 1,251           9,251
 156  エスワティニ                    アフリカ               1,202          17,364
 157  ジブチ                       アフリカ               1,136          23,200
 158  フィジー                      オセアニア                930          18,272
 159  コモロ                       アフリカ                 852           2,235
 160  ガイアナ                      南米                   813         214,969
 161  ブータン                      アジア                  787          38,394
 162  ソロモン諸島                    オセアニア                720          28,896
 163  ルクセンブルク                   欧州                   672           2,586
 164  モンテネグロ                    欧州                   627          13,812
 165  スリナム                      南米                   623         163,820
 166  カーボベルデ                    アフリカ                 568           4,033
 167  マルタ                       欧州                   535             316
 168  モルディブ                     アジア                  521             298
 169  ブルネイ                      アジア                  452           5,765
 170  ベリーズ                      北米                   411          22,966
 171  バハマ                       北米                   400          13,943
 172  アイスランド                    欧州                   372         103,000
 173  バヌアツ                      オセアニア                327          12,189
 174  バルバドス                     北米                   282             430
 175  サントメ・プリンシペ                アフリカ                 231             964
 176  サモア                       オセアニア                222           2,842
 177  セントルシア                    北米                   180             616
 178  グレナダ                      北米                   125             344
 179  キリバス                      オセアニア                119             811
 180  マイクロネシア                   オセアニア                115             702
 181  セーシェル                     アフリカ                 107             455
 182  セントビンセント・グレナディーン          北米                   103             389
 183  トンガ                       オセアニア                100             747
 184  アンティグア・バーブーダ              北米                    94             442
 185  アンドラ                      欧州                    80             468
 186  ドミニカ                      北米                    73             751
 187  セントクリストファー・ネービス           北米                    47             261
 188  マーシャル諸島                   オセアニア                 42             181
 189  リヒテンシュタイン                 欧州                    39             160
 190  モナコ                       欧州                    36               2
 191  サンマリノ                     欧州                    34              61
 192  パラオ                       オセアニア                 18             459
 193  ツバル                       オセアニア                 11              26
 194  ナウル                       オセアニア                 10              21
 195  バチカン                      欧州                     1               0

合計: 195カ国
